Concept,Feature,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length_Including_Spaces,Phon_1st,KF,ln(KF),BNC,ln(BNC),Familiarity,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax
accordion,a_musical_instrument,superordinate,c,h,taxonomic,28,1,,18,ND,0.056,,92.64,0,20,@,1,0.00,2,0.69,2.90,9,7,4,734.85,356.07,0,9,8,3,37.5,0.447,0.435,24.10,1,10,2,0,2,0,2,0,0,0,2,1
accordion,has_keys,external_component,e,ce,visual-form_and_surface,17,2,108,7,ND,0.143,0.157,38.75,24.1,8,@,1,0.00,2,0.69,2.90,9,7,4,734.85,356.07,0,9,8,3,37.5,0.447,0.435,24.10,1,10,2,0,2,0,2,0,0,0,2,1
accordion,requires_air,contingency,i,c,encyclopaedic,11,3,49,4,ND,0.250,0.224,13.97,0,12,@,1,0.00,2,0.69,2.90,9,7,4,734.85,356.07,0,9,8,3,37.5,0.447,0.435,24.10,1,10,2,0,2,0,2,0,0,0,2,1
accordion,associated_with_polkas,associated_entity,s,e,encyclopaedic,9,4,9,1,D,1.000,1.000,0,0,22,@,1,0.00,2,0.69,2.90,9,7,4,734.85,356.07,0,9,8,3,37.5,0.447,0.435,24.10,1,10,2,0,2,0,2,0,0,0,2,1
accordion,has_buttons,external_component,e,ce,visual-form_and_surface,8,5,163,13,ND,0.077,0.049,0,0,11,@,1,0.00,2,0.69,2.90,9,7,4,734.85,356.07,0,9,8,3,37.5,0.447,0.435,24.10,1,10,2,0,2,0,2,0,0,0,2,1
accordion,used_by_moving_bellows,action,s,a,function,8,5,8,1,D,1.000,1.000,0,0,22,@,1,0.00,2,0.69,2.90,9,7,4,734.85,356.07,0,9,8,3,37.5,0.447,0.435,24.10,1,10,2,0,2,0,2,0,0,0,2,1
accordion,inbeh_-_produces_music,entity_behavior,e,b,sound,6,7,178,13,ND,0.077,0.034,81.3,24.1,22,@,1,0.00,2,0.69,2.90,9,7,4,734.85,356.07,0,9,8,3,37.5,0.447,0.435,24.10,1,10,2,0,2,0,2,0,0,0,2,1
accordion,is_loud,external_surface_property,e,se,sound,6,7,317,34,ND,0.029,0.019,6.82,0,7,@,1,0.00,2,0.69,2.90,9,7,4,734.85,356.07,0,9,8,3,37.5,0.447,0.435,24.10,1,10,2,0,2,0,2,0,0,0,2,1
accordion,worn_on_chest,function,s,f,function,6,7,6,1,D,1.000,1.000,0,0,13,@,1,0.00,2,0.69,2.90,9,7,4,734.85,356.07,0,9,8,3,37.5,0.447,0.435,24.10,1,10,2,0,2,0,2,0,0,0,2,1
airplane,beh_-_flies,entity_behavior,e,b,visual-motion,25,1,712,46,ND,0.022,0.035,84.35,84.35,11,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.300,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
airplane,has_wings,external_component,e,ce,visual-form_and_surface,20,2,529,44,ND,0.023,0.038,84.35,84.35,9,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.300,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
airplane,used_for_passengers,participant,s,p,function,15,3,115,9,ND,0.111,0.130,119.58,119.58,19,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.300,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
airplane,is_fast,systemic_property,e,sys,visual-motion,11,4,346,33,ND,0.030,0.032,50.15,50.15,7,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.300,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
airplane,requires_pilots,contingency,i,c,encyclopaedic,11,4,24,3,ND,0.333,0.458,94.54,94.54,15,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.300,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
airplane,used_for_transportation,function,s,f,function,10,6,323,33,ND,0.030,0.031,56.39,56.39,23,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.300,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
airplane,found_in_airports,location,s,l,encyclopaedic,8,7,8,1,D,1.000,1.000,0,0,17,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.300,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
