#subject	#object	#spatial 1->beside 2->under 3->over 4->inside upper-half 5->inside lower-half
shade	lamp	2
shade	window	5
man	sneakers	5
man	shirt	4
man	glasses	4
man	shoes	5
man	pants	5
man	jacket	4
man	chin	4
man	backpack	4
man	sleeves	4
man	computer	1
man	hand	5
man	coat	4
man	sleeve	4
man	desk	5
man	sidewalk	2
man	hair	4
man	monitor	1
man	car	2
man	man	4
man	bottle	4
man	stroller	1
man	child	1
man	suit	5
man	street	2
man	umbrella	3
man	road	2
man	sweatshirt	4
man	bag	5
man	tie	5
man	motorcycle	5
man	phone	4
man	green	5
man	hands	4
man	arm	4
man	chair	5
man	mustache	4
man	water	1
man	shorts	5
man	orange	5
man	blue	4
man	helmet	4
man	shadow	2
man	bicycle	5
man	jeans	5
man	watch	5
man	ear	4
man	woman	1
man	couch	5
man	bike	5
man	vest	4
man	van	1
man	headphones	4
man	smile	4
man	fence	1
man	camera	4
man	floor	2
man	blazer	5
man	stairs	2
man	hat	4
man	head	4
man	neck	4
man	eye	4
man	mouth	4
man	eyebrow	4
man	lip	5
man	forehead	4
man	nose	4
man	earring	4
man	steps	2
man	cap	4
man	leg	5
man	book	4
man	laptop	5
man	sweater	4
man	sunglasses	4
man	drink	5
man	table	2
man	beard	4
man	cup	4
man	kiosk	1
man	wall	1
man	crowd	1
man	feet	5
man	lanyard	4
man	ring	5
man	red	4
man	white	4
man	boat	2
man	dog	1
man	shoe	5
man	cart	1
man	building	3
man	bags	5
man	sandals	5
man	shoulder	4
man	plane	2
man	airplane	1
man	rocks	2
man	picture	1
man	skis	5
man	beanie	4
man	motorbike	2
man	bridge	3
man	face	4
man	belt	5
man	eyes	4
man	board	2
man	sky	3
man	bench	5
man	clothing	5
man	hoodie	4
man	black	5
man	remote	4
man	vehicle	2
man	door	4
man	arms	4
man	eyeglasses	4
man	elbow	5
man	outfit	5
man	bus	1
man	apron	5
man	knife	5
man	snow	2
man	clothes	5
man	legs	5
man	horse	5
man	boot	5
man	scarf	4
man	statue	1
man	necklace	4
man	guitar	4
man	bear	1
man	bandana	4
man	top	4
man	briefcase	5
man	truck	1
man	sock	5
man	room	1
man	t-shirt	4
man	window	1
man	people	1
man	railing	1
man	grass	2
man	beer	4
man	tv	1
man	box	5
man	suspenders	4
man	seat	5
man	wristwatch	5
man	sign	1
man	girl	1
man	park	1
man	cane	5
man	newspaper	4
man	wheelchair	5
man	rail	2
man	goatee	4
man	kitchen	1
man	ponytail	4
man	train	1
man	thumb	4
man	finger	5
man	fingers	4
man	racket	4
man	bar	2
man	ground	2
man	object	5
man	snowboard	5
man	hill	1
man	counter	2
man	flag	1
man	sand	2
man	rope	1
man	ball	1
man	tennis	1
man	trunks	5
man	kite	3
man	wristband	4
man	boy	1
man	suitcase	5
man	gloves	4
man	surfboard	5
man	knees	5
man	wetsuit	5
man	glove	4
man	wrist	5
man	stick	5
man	skateboard	5
man	goggles	4
man	bat	4
man	sneaker	5
man	paddle	4
man	ocean	1
man	beach	2
man	game	1
man	bracelet	5
man	uniform	5
man	field	1
man	court	1
man	ramp	2
man	tree	3
man	mitt	4
man	pizza	5
man	mirror	4
man	frisbee	4
man	scooter	5
man	person	1
man	doorway	4
man	bathroom	4
man	controller	5
man	plate	5
man	glass	4
man	sofa	5
man	ski	5
man	cellphone	4
man	hotdog	5
man	tshirt	4
man	robe	5
man	elephant	2
man	foot	5
man	baby	5
man	handle	4
man	kayak	2
man	pole	5
man	racquet	3
man	food	5
man	dirt	2
man	bed	5
man	band	4
man	platform	2
man	cake	2
man	wine	4
man	baseball	4
man	socks	5
man	sandal	5
man	moustache	4
man	tattoo	4
man	sheep	2
man	spot	4
man	costume	5
man	air	3
man	scissors	5
man	jersey	4
man	bananas	1
man	moped	5
man	microphone	4
man	mountain	1
man	back	4
man	wagon	2
man	fork	5
man	tracks	2
man	sandwich	1
man	necktie	5
man	reflection	2
man	teeth	4
man	knee	5
man	mask	4
man	wave	1
man	river	1
man	waves	1
man	lips	4
man	trick	5
man	headband	4
man	background	1
man	paper	5
man	mound	2
man	luggage	1
man	photo	4
man	strap	4
man	boots	5
man	doughnut	5
man	stands	1
man	towel	5
man	toilet	1
man	blanket	1
man	short	5
man	meeting	2
man	poles	5
man	giraffe	1
man	elephants	3
man	donut	5
man	group	1
man	toothbrush	5
man	eyebrows	4
man	slope	2
man	hood	4
man	string	3
man	undershirt	4
man	tongue	4
man	carriage	2
man	cow	1
man	spectacles	4
man	wii	5
man	skiis	5
man	refrigerator	1
man	banana	5
man	cat	5
man	photograph	4
man	oven	1
man	can	5
man	surboard	2
man	football	5
man	visor	4
man	wood	4
man	cigarette	4
man	animals	1
man	dogs	1
man	pavement	2
man	grill	1
man	music	2
man	har	4
man	dark	1
man	skatepark	5
man	motorcylce	5
man	ad	4
man	cisors	5
car	headlight	5
car	street	2
car	road	2
car	sidewalk	2
car	wheel	5
car	motorcycle	1
car	windshield	4
car	window	4
car	door	4
car	tire	5
car	plate	5
car	building	3
car	fence	1
car	house	3
car	light	3
car	car	4
car	tree	3
car	pavement	2
car	mirror	4
car	lot	1
car	sign	3
car	grass	2
car	truck	1
car	driveway	2
car	intersection	2
car	bus	3
car	curb	2
car	man	1
car	snow	2
car	headlights	5
car	bridge	3
car	ground	2
car	lights	4
car	highway	4
car	train	1
car	track	2
car	hood	4
car	background	3
car	tracks	2
car	field	2
car	traffic	1
sign	building	2
sign	road	2
sign	pole	2
sign	sidewalk	2
sign	tree	3
sign	fence	2
sign	letters	4
sign	arrow	5
sign	writing	4
sign	street	2
sign	post	2
sign	door	2
sign	table	2
sign	car	2
sign	wall	2
sign	sign	4
sign	man	2
sign	ground	2
sign	grass	2
sign	store	2
sign	window	2
sign	text	4
sign	lettering	4
sign	shop	2
sign	letter	4
sign	bus	2
sign	station	2
sign	stop	5
sign	snow	2
sign	sky	3
sign	water	2
sign	woman	2
sign	border	4
sign	train	2
sign	plane	2
sign	truck	2
sign	gate	1
sign	words	4
sign	bench	4
sign	ceiling	3
sign	tracks	2
sign	number	4
sign	word	4
sign	background	5
sign	platform	2
sign	light	3
sign	hotel	4
sign	clock	3
sign	graffiti	5
sign	arrows	5
sign	rules	4
sidewalk	street	2
sidewalk	road	2
sidewalk	sidewalk	4
sidewalk	building	3
sidewalk	brick	5
sidewalk	grass	2
bike	sidewalk	2
bike	car	2
bike	tire	5
bike	bike	4
bike	fence	1
bike	pole	4
bike	road	2
bike	basket	4
bike	building	3
bike	grass	4
bike	ground	2
bike	street	2
bike	man	3
bike	wall	3
bike	bench	1
bike	seat	4
bike	pedal	5
bike	wheel	5
bike	bananas	3
bike	rack	4
bike	light	4
bike	bus	3
guy	glasses	4
guy	pants	5
guy	bench	5
guy	shirt	4
guy	shorts	5
guy	t-shirt	5
guy	sunglasses	4
guy	hat	4
guy	jacket	5
guy	skateboard	2
guy	jeans	5
guy	cap	4
guy	hair	4
guy	guy	4
guy	surfboard	5
guy	coat	4
guy	frisbee	4
guy	pot	5
shirt	man	5
shirt	sleeves	4
shirt	shirt	4
shirt	woman	4
shirt	person	5
shirt	collar	4
shirt	stripe	4
shirt	button	5
shirt	design	4
shirt	buttons	5
shirt	player	2
shirt	girl	4
shirt	sleeve	4
shirt	pocket	5
shirt	writing	4
shirt	logo	4
shirt	number	4
shirt	boy	5
shirt	yankee	4
shirt	stripes	4
shirt	letters	4
shirt	jacket	4
shirt	child	5
tree	street	2
tree	road	2
tree	planter	2
tree	leaves	4
tree	building	1
tree	trunk	5
tree	branches	4
tree	pot	2
tree	car	2
tree	branch	4
tree	bus	2
tree	ground	2
tree	grass	2
tree	pole	1
tree	bridge	2
tree	house	1
tree	sidewalk	2
tree	leaf	4
tree	window	1
tree	tree	4
tree	city	1
tree	fence	2
tree	flowers	4
tree	hill	2
tree	woods	1
tree	giraffe	1
tree	field	2
tree	water	2
tree	snow	2
tree	yard	2
tree	wall	2
tree	man	2
tree	sky	1
tree	row	1
tree	park	2
tree	bench	2
tree	sign	1
tree	shadow	2
tree	bark	4
tree	distance	1
tree	background	1
tree	boat	2
tree	mountain	2
tree	truck	2
tree	river	2
tree	forest	1
tree	tracks	2
tree	train	2
tree	zebra	2
tree	people	2
tree	elephant	2
tree	lake	2
tree	lights	4
tree	woman	2
tree	horse	2
tree	beach	2
tree	track	2
tree	hillside	2
tree	boy	1
tree	pasture	2
tree	path	2
tree	shore	2
tree	girl	2
tree	photo	2
tree	person	2
tree	slope	2
tree	bear	2
tree	cow	2
tree	sheep	2
tree	skier	2
trees	sidewalk	2
trees	road	2
trees	hills	1
trees	house	1
trees	fence	2
trees	trees	4
trees	buildings	3
trees	man	2
trees	water	2
trees	mountains	3
trees	field	2
trees	sky	3
trees	building	1
trees	leaves	4
trees	park	2
trees	mountain	3
trees	shore	2
trees	forest	5
trees	hill	2
trees	street	2
trees	river	2
trees	woman	2
trees	grass	2
trees	people	2
trees	horizon	3
trees	wall	2
trees	branches	4
trees	window	5
trees	snow	2
trees	ground	2
trees	giraffes	2
trees	train	2
trees	giraffe	2
trees	tracks	2
trees	distance	3
trees	background	4
trees	hillside	2
trees	plane	3
trees	elephant	2
trees	zebra	2
trees	slope	2
trees	beach	2
trees	elephants	2
trees	sign	5
trees	bus	2
trees	back	1
trees	bench	2
trees	bear	2
trees	person	2
trees	horse	2
trees	lake	2
trees	cow	2
crosswalk	road	2
crosswalk	street	3
building	window	4
building	street	2
building	beach	2
building	windows	4
building	building	4
building	balcony	4
building	sidewalk	2
building	city	1
building	tree	1
building	door	5
building	bridge	2
building	trim	4
building	balconies	5
building	distance	1
building	wall	4
building	awning	5
building	people	2
building	light	4
building	bricks	5
building	side	4
building	corner	5
building	person	2
building	background	1
building	man	2
building	roof	4
building	road	2
building	trees	1
building	sign	4
building	lights	4
building	water	2
building	sky	3
building	arch	5
building	tower	4
building	clock	4
building	car	2
building	chimney	4
building	brick	4
building	airplane	2
building	shore	2
building	mountain	2
building	stone	4
building	plane	3
building	hill	2
building	top	4
building	field	2
building	tracks	2
building	train	2
building	bus	1
building	airport	2
building	symbols	4
building	fence	2
building	truck	2
building	giraffe	5
keyboard	monitor	3
keyboard	desk	2
keyboard	computer	3
keyboard	table	2
keyboard	key	4
keyboard	laptop	3
mouse	keyboard	2
mouse	desk	2
mouse	mousepad	5
mouse	pad	5
mouse	table	2
mouse	computer	3
mouse	laptop	3
girl	hair	4
girl	necklace	5
girl	dress	5
girl	coat	4
girl	hand	4
girl	table	2
girl	chair	5
girl	jacket	4
girl	beach	1
girl	shorts	5
girl	boots	5
girl	hat	4
girl	eyes	4
girl	ponytail	4
girl	shirt	4
girl	skirt	5
girl	foot	5
girl	woman	1
girl	pink	4
girl	water	2
girl	book	5
girl	backpack	4
girl	shoe	5
girl	bag	5
girl	girl	4
girl	sweater	5
girl	eye	4
girl	nose	4
girl	mouth	4
girl	ear	4
girl	eyebrow	4
girl	shoes	5
girl	cap	4
girl	jeans	5
girl	pants	5
girl	bike	5
girl	horse	2
girl	sunglasses	4
girl	bench	5
girl	laptop	1
girl	bikini	4
girl	glasses	4
girl	ball	1
girl	umbrella	4
girl	surfboard	2
girl	sock	5
girl	hoodie	4
