#subject	#object	#spatial 0->inside 1->beside 2->under 3->over
shade	lamp	2
shade	window	0
man	sneakers	0
man	shirt	0
man	glasses	0
man	shoes	0
man	pants	0
man	jacket	0
man	chin	0
man	backpack	0
man	sleeves	0
man	computer	1
man	hand	0
man	coat	0
man	sleeve	0
man	desk	0
man	sidewalk	2
man	hair	0
man	monitor	1
man	car	2
man	man	0
man	bottle	0
man	stroller	1
man	child	0
man	suit	0
man	street	2
man	umbrella	3
man	road	2
man	sweatshirt	0
man	bag	0
man	tie	0
man	motorcycle	0
man	phone	0
man	green	0
man	hands	0
man	arm	0
man	chair	0
man	mustache	0
man	water	1
man	shorts	0
man	orange	0
man	blue	0
man	helmet	0
man	shadow	2
man	bicycle	0
man	jeans	0
man	watch	0
man	ear	0
man	woman	1
man	couch	0
man	bike	0
man	vest	0
man	van	1
man	headphones	0
man	smile	0
man	fence	1
man	camera	0
man	floor	2
man	blazer	0
man	stairs	2
man	hat	0
man	head	0
man	neck	0
man	eye	0
man	mouth	0
man	eyebrow	0
man	lip	0
man	forehead	0
man	nose	0
man	earring	0
man	steps	2
man	cap	0
man	leg	0
man	book	0
man	laptop	0
man	sweater	0
man	sunglasses	0
man	drink	0
man	table	2
man	beard	0
man	cup	0
man	kiosk	1
man	wall	1
man	crowd	1
man	feet	0
man	lanyard	0
man	ring	0
man	red	0
man	white	0
man	boat	2
man	dog	1
man	shoe	0
man	cart	1
man	building	3
man	bags	0
man	sandals	0
man	shoulder	0
man	plane	2
man	airplane	1
man	rocks	2
man	picture	0
man	skis	0
man	beanie	0
man	motorbike	0
man	bridge	3
man	face	0
man	belt	0
man	eyes	0
man	board	2
man	sky	3
man	bench	0
man	clothing	0
man	hoodie	0
man	black	0
man	remote	0
man	vehicle	2
man	door	0
man	arms	0
man	eyeglasses	0
man	elbow	0
man	outfit	0
man	bus	1
man	apron	0
man	knife	0
man	snow	2
man	clothes	0
man	legs	0
man	horse	0
man	boot	0
man	scarf	0
man	statue	1
man	necklace	0
man	guitar	0
man	bear	0
man	bandana	0
man	top	0
man	briefcase	0
man	truck	1
man	sock	0
man	room	1
man	t-shirt	0
man	window	1
man	people	1
man	railing	1
man	grass	2
man	beer	0
man	tv	1
man	box	0
man	suspenders	0
man	seat	0
man	wristwatch	0
man	sign	0
man	girl	1
man	park	1
man	cane	0
man	newspaper	0
man	wheelchair	0
man	rail	2
man	goatee	0
man	kitchen	0
man	ponytail	0
man	train	1
man	thumb	0
man	finger	0
man	fingers	0
man	racket	0
man	bar	0
man	ground	2
man	object	0
man	snowboard	0
man	hill	1
man	counter	2
man	flag	1
man	sand	2
man	rope	0
man	ball	0
man	tennis	0
man	trunks	0
man	kite	3
man	wristband	0
man	boy	1
man	suitcase	0
man	gloves	0
man	surfboard	0
man	knees	0
man	wetsuit	0
man	glove	0
man	wrist	0
man	stick	0
man	skateboard	0
man	goggles	0
man	bat	0
man	sneaker	0
man	paddle	0
man	ocean	1
man	beach	2
man	game	1
man	bracelet	0
man	uniform	0
man	field	1
man	court	1
man	ramp	2
man	tree	3
man	mitt	0
man	pizza	0
man	mirror	0
man	frisbee	0
man	scooter	0
man	person	1
man	doorway	0
man	bathroom	0
man	controller	0
man	plate	0
man	glass	0
man	sofa	0
man	ski	0
man	cellphone	0
man	hotdog	0
man	tshirt	0
man	robe	0
man	elephant	2
man	foot	0
man	baby	0
man	handle	0
man	kayak	2
man	pole	0
man	racquet	0
man	food	0
man	dirt	0
man	bed	0
man	band	0
man	platform	2
man	cake	2
man	wine	0
man	baseball	0
man	socks	0
man	sandal	0
man	moustache	0
man	tattoo	0
man	sheep	2
man	spot	0
man	costume	0
man	air	0
man	scissors	0
man	jersey	0
man	bananas	0
man	moped	0
man	microphone	0
man	mountain	1
man	back	0
man	wagon	2
man	fork	0
man	tracks	2
man	sandwich	0
man	necktie	0
man	reflection	2
man	teeth	0
man	knee	0
man	mask	0
man	wave	0
man	river	1
man	waves	1
man	lips	0
man	trick	0
man	headband	0
man	background	1
man	paper	0
man	mound	2
man	luggage	1
man	photo	0
man	strap	0
man	boots	0
man	doughnut	0
man	stands	1
man	towel	0
man	toilet	0
man	blanket	1
man	short	0
man	meeting	2
man	poles	0
man	giraffe	1
man	elephants	3
man	donut	0
man	group	1
man	toothbrush	0
man	eyebrows	0
man	slope	2
man	hood	0
man	string	3
man	undershirt	0
man	tongue	0
man	carriage	2
man	cow	1
man	spectacles	0
man	wii	0
man	skiis	0
man	refrigerator	1
man	banana	0
man	cat	0
man	photograph	0
man	oven	1
man	can	0
man	surboard	2
man	football	0
man	visor	0
man	wood	0
man	cigarette	0
man	animals	1
man	dogs	1
man	pavement	2
man	grill	1
man	music	2
man	har	0
man	dark	1
man	skatepark	0
man	motorcylce	0
man	ad	0
man	cisors	0
car	headlight	0
car	street	2
car	road	2
car	sidewalk	2
car	wheel	0
car	motorcycle	1
car	windshield	0
car	window	0
car	door	0
car	tire	0
car	plate	0
car	building	3
car	fence	1
car	house	3
car	light	0
car	car	0
car	tree	3
car	pavement	2
car	mirror	0
car	lot	1
car	sign	3
car	grass	2
car	truck	1
car	driveway	2
car	intersection	2
car	bus	3
car	curb	2
car	man	1
car	snow	0
car	headlights	0
car	bridge	3
car	ground	2
car	lights	0
car	highway	0
car	train	1
car	track	2
car	hood	0
car	background	3
car	tracks	2
car	field	2
car	traffic	1
sign	building	2
sign	road	2
sign	pole	2
sign	sidewalk	2
sign	tree	3
sign	fence	2
sign	letters	0
sign	arrow	0
sign	writing	0
sign	street	2
sign	post	2
sign	door	2
sign	table	2
sign	car	2
sign	wall	2
sign	sign	0
sign	man	2
sign	ground	2
sign	grass	2
sign	store	2
sign	window	0
sign	text	0
sign	lettering	0
sign	shop	2
sign	letter	0
sign	bus	2
sign	station	2
sign	stop	0
sign	snow	2
sign	sky	3
sign	water	2
sign	woman	2
sign	border	0
sign	train	2
sign	plane	2
sign	truck	2
sign	gate	1
sign	words	0
sign	bench	0
sign	ceiling	3
sign	tracks	2
sign	number	0
sign	word	0
sign	background	0
sign	platform	2
sign	light	3
sign	hotel	0
sign	clock	3
sign	graffiti	0
sign	arrows	0
sign	rules	0
sidewalk	street	2
sidewalk	road	2
sidewalk	sidewalk	0
sidewalk	building	3
sidewalk	brick	0
sidewalk	grass	0
bike	sidewalk	2
bike	car	2
bike	tire	0
bike	bike	0
bike	fence	1
bike	pole	0
bike	road	2
bike	basket	0
bike	building	3
bike	grass	0
bike	ground	2
bike	street	2
bike	man	3
bike	wall	0
bike	bench	1
bike	seat	0
bike	pedal	0
bike	wheel	0
bike	bananas	3
bike	rack	0
bike	light	0
bike	bus	3
guy	glasses	0
guy	pants	0
guy	bench	0
guy	shirt	0
guy	shorts	0
guy	t-shirt	0
guy	sunglasses	0
guy	hat	0
guy	jacket	0
guy	skateboard	2
guy	jeans	0
guy	cap	0
guy	hair	0
guy	guy	0
guy	surfboard	0
guy	coat	0
guy	frisbee	0
guy	pot	0
shirt	man	0
shirt	sleeves	0
shirt	shirt	0
shirt	woman	0
shirt	person	0
shirt	collar	0
shirt	stripe	0
shirt	button	0
shirt	design	0
shirt	buttons	0
shirt	player	2
shirt	girl	0
shirt	sleeve	0
shirt	pocket	0
shirt	writing	0
shirt	logo	0
shirt	number	0
shirt	boy	0
shirt	yankee	0
shirt	stripes	0
shirt	letters	0
shirt	jacket	0
shirt	child	0
tree	street	2
tree	road	2
tree	planter	2
tree	leaves	0
tree	building	1
tree	trunk	0
tree	branches	0
tree	pot	2
tree	car	2
tree	branch	0
tree	bus	2
tree	ground	2
tree	grass	2
tree	pole	1
tree	bridge	2
tree	house	1
tree	sidewalk	2
tree	leaf	0
tree	window	0
tree	tree	0
tree	city	1
tree	fence	2
