WORDPAIR	SEMANTIC	VISUAL
bench#saddle	2.80	2.20
cabin#lobster	1.00	1.00
chimp#horse	3.20	1.40
goldfish#projector	1.00	1.00
apron#barrel	1.20	1.20
ox#peg	1.00	1.00
skirt#whistle	1.00	1.00
buzzard#finch	4.40	3.00
hut#parakeet	1.00	1.00
mixer#skillet	2.40	1.20
ambulance#bolts	1.40	1.00
crocodile#toilet	1.00	1.00
faucet#platypus	1.00	1.00
banjo#harp	4.20	2.40
mink_(coat)#trumpet	1.00	1.00
tent#thimble	1.00	1.60
butterfly#curtains	1.00	1.40
beetle#rabbit	2.40	1.40
olive#pheasant	1.00	1.00
coyote#mink_(animal)	3.20	2.80
broom#elevator	1.00	1.00
cap_(bottle)#sleigh	1.00	1.00
chain#unicycle	2.00	1.20
chapel#shotgun	1.00	1.00
crow#grater	1.00	1.00
minnow#slippers	1.00	1.00
pajamas#socks	3.20	1.40
stick#sword	2.60	3.40
cello#parka	1.00	1.00
rhubarb#yam	4.00	2.00
gloves#nectarine	1.00	1.00
bow_(ribbon)#rope	3.00	2.50
bazooka#bomb	4.00	2.00
cabin#cabinet	2.25	1.75
cork#walnut	1.25	1.25
bin_(waste)#buckle	1.00	1.00
chicken#sparrow	4.50	3.00
blueberry#eggplant	3.00	1.75
crown#shirt	1.50	1.00
cantaloupe#tomato	3.75	2.25
chickadee#duck	4.50	2.75
blender#ship	1.00	1.00
bag#gate	1.50	1.00
dishwasher#elephant	1.00	1.00
candle#keyboard_(musical)	1.50	1.00
bread#celery	2.50	1.25
walrus#whale	4.50	3.25
caribou#fawn	4.50	3.50
bull#trumpet	1.25	1.00
earmuffs#pin	1.25	1.00
bat_(animal)#cage	1.75	1.00
cap_(bottle)#mushroom	1.25	2.25
lettuce#panther	1.00	1.00
plug_(electric)#sailboat	1.50	1.00
dolphin#wagon	1.00	1.00
machete#scarf	1.00	1.00
eel#vest	1.00	1.00
cupboard#table	3.00	1.25
dunebuggy#raspberry	1.00	1.00
corkscrew#screws	3.50	3.75
bucket#giraffe	1.00	1.00
mug#shrimp	1.00	1.00
cello#octopus	1.00	1.00
box#pipe_(plumbing)	1.40	1.00
oriole#seagull	4.60	3.20
grasshopper#lobster	2.60	2.00
drill#squid	1.00	1.00
bat_(baseball)#unicycle	1.20	1.00
panther#yacht	1.00	1.00
apron#bow_(weapon)	1.00	1.00
ladle#skillet	2.40	1.20
skis#snail	1.00	1.00
chapel#sled	1.00	1.00
grenade#shovel	1.60	1.00
balloon#brick	1.00	1.00
carrot#sink	1.00	1.00
chipmunk#otter	3.60	2.40
chain#wheelbarrow	1.80	1.00
